iter	Passed	Remaining
406	3530	5144
407	3539	5135
408	3546	5125
409	3555	5116
410	3563	5106
411	3572	5098
412	3578	5086
413	3585	5075
414	3592	5064
415	3600	5055
416	3607	5043
417	3614	5032
418	3621	5021
419	3628	5010
420	3636	5001
421	3643	4990
422	3650	4979
423	3657	4968
424	3663	4956
425	3670	4945
426	3677	4934
427	3684	4924
428	3691	4913
429	3698	4902
430	3705	4891
431	3712	4880
432	3719	4869
433	3725	4859
434	3733	4848
435	3740	4838
436	3747	4828
437	3755	4818
438	3762	4807
439	3768	4796
440	3775	4785
441	3781	4774
442	3788	4763
443	3796	4754
444	3803	4744
445	3810	4733
446	3817	4722
447	3825	4713
448	3832	4703
449	3839	4692
450	3846	4682
451	3853	4672
452	3861	4662
453	3868	4652
454	3875	4641
455	3882	4631
456	3888	4620
457	3895	4609
458	3902	4599
459	3909	4589
460	3917	4579
461	3923	4569
462	3930	4558
463	3937	4547
464	3943	4537
465	3950	4526
466	3957	4517
467	3964	4506
468	3971	4496
469	3977	4485
470	3983	4474
471	3990	4463
472	3996	4452
473	4003	4442
474	4009	4432
475	4016	4421
476	4023	4411
477	4030	4401
478	4037	4391
479	4043	4380
480	4050	4370
481	4057	4360
482	4064	4350
483	4069	4338
484	4076	4328
485	4083	4319
486	4090	4308
487	4096	4298
488	4103	4288
489	4110	4278
490	4116	4267
491	4123	4257
492	4131	4248
493	4139	4239
494	4147	4230
495	4154	4221
496	4160	4210
497	4167	4200
498	4173	4190
499	4179	4179
500	4185	4169
501	4191	4158
502	4198	4148
503	4205	4138
504	4212	4128
505	4218	4118
506	4226	4109
507	4232	4099
508	4239	4089
509	4246	4079
510	4252	4069
511	4259	4059
512	4266	4050
513	4272	4040
514	4278	4029
515	4285	4019
516	4291	4009
517	4297	3999
518	4304	3989
519	4310	3978
520	4316	3968
521	4322	3958
522	4328	3947
523	4334	3937
524	4340	3927
525	4347	3917
526	4353	3906
527	4359	3896
528	4365	3887
529	4372	3877
530	4379	3868
531	4386	3858
532	4394	3849
533	4400	3840
534	4407	3830
535	4414	3821
536	4421	3811
537	4428	3802
538	4434	3792
539	4440	3782
540	4447	3773
541	4454	3763
542	4461	3754
543	4467	3744
544	4473	3734
545	4479	3724
546	4486	3715
547	4492	3705
548	4500	3697
549	4507	3687
550	4514	3678
551	4520	3669
552	4526	3659
553	4532	3649
554	4539	3639
555	4545	3630
556	4552	3620
557	4558	3610
558	4565	3601
559	4572	3592
560	4579	3583
561	4585	3573
562	4591	3564
563	4598	3554
564	4605	3545
565	4611	3535
566	4617	3526
567	4625	3517
568	4633	3509
569	4639	3500
570	4647	3491
571	4653	3481
572	4659	3472
573	4665	3462
574	4671	3453
575	4678	3443
576	4684	3434
577	4690	3424
578	4696	3415
579	4702	3405
580	4709	3396
581	4716	3387
582	4722	3377
583	4728	3368
584	4734	3358
585	4741	3350
586	4749	3341
587	4755	3331
588	4761	3322
589	4767	3312
590	4774	3304
591	4780	3294
592	4787	3286
593	4794	3277
594	4802	3269
595	4809	3259
596	4815	3250
597	4822	3241
598	4829	3233
599	4836	3224
600	4843	3215
601	4851	3207
602	4858	3198
603	4864	3189
604	4871	3180
605	4878	3171
606	4884	3162
607	4891	3153
608	4897	3144
609	4904	3135
610	4911	3126
611	4918	3118
